describle,evaluate,introduce,movie_name,serial_number,star
希望让人自由。,1391579人评价,导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins/...,肖申克的救赎,1,9.6
风华绝代。,1030365人评价,导演:陈凯歌KaigeChen主演:张国荣LeslieCheung/张丰毅FengyiZha...,霸王别姬,2,9.6
怪蜀黍和小萝莉不得不说的故事。,1271601人评价,导演:吕克·贝松LucBesson主演:让·雷诺JeanReno/娜塔莉·波特曼...,这个杀手不太冷,3,9.4
一部美国近现代史。,1096021人评价,导演:罗伯特·泽米吉斯RobertZemeckis主演:汤姆·汉克斯TomHanks/...,阿甘正传,4,9.4
最美的谎言。,641429人评价,导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...,美丽人生,5,9.5
失去的才是永恒的。 ,1036374人评价,导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...,泰坦尼克号,6,9.3
最好的宫崎骏，最好的久石让。 ,1021995人评价,导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiHîragi/入野自由Miy...,千与千寻,7,9.3
拯救一个人，就是拯救整个世界。,572262人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...,辛德勒的名单,8,9.5
诺兰给了我们一场无法盗取的梦。,1103249人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...,盗梦空间,9,9.3
永远都不能忘记你所爱的人。,726138人评价,导演:莱塞·霍尔斯道姆LasseHallström主演:理查·基尔RichardGer...,忠犬八公的故事,10,9.3
小瓦力，大人生。,731007人评价,导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt/艾丽...,机器人总动员,11,9.3
英俊版憨豆，高情商版谢耳朵。,990347人评价,导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan/卡...,三傻大闹宝莱坞,12,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,813355人评价,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:蒂姆·罗斯TimRoth/...,海上钢琴师,13,9.2
天籁一般的童声，是最接近上帝的存在。 ,685396人评价,导演:克里斯托夫·巴拉蒂ChristopheBarratier主演:热拉尔·朱尼奥Gé...,放牛班的春天,14,9.3
如果再也不能见到你，祝你早安，午安，晚安。,756236人评价,导演:彼得·威尔PeterWeir主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...,楚门的世界,15,9.2
一生所爱。,765700人评价,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...,大话西游之大圣娶亲,16,9.2
爱是一种力量，让我们超越时空感知它的存在。,786046人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:马修·麦康纳MatthewMc...,星际穿越,17,9.2
人人心中都有个龙猫，童年就永远不会消失。,677026人评价,导演:宫崎骏HayaoMiyazaki主演:日高法子NorikoHidaka/坂本千夏Ch...,龙猫,18,9.2
千万不要记恨你的对手，这样会让你失去理智。,497236人评价,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:马龙·白兰度M...,教父,19,9.2
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,442171人评价,导演:黄东赫Dong-hyukHwang主演:孔侑YooGong/郑有美Yu-miJeong...,熔炉,20,9.3
香港电影史上永不过时的杰作。,628577人评价,导演:刘伟强/麦兆辉主演:刘德华/梁朝伟/黄秋生,无间道,21,9.1
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,862374人评价,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore主演:金妮弗·...,疯狂动物城,22,9.2
平民励志片。 ,801062人评价,导演:加布里尔·穆奇诺GabrieleMuccino主演:威尔·史密斯WillSmith...,当幸福来敲门,23,9.0
真正的幸福是来自内心深处。,884235人评价,导演:罗伯·莱纳RobReiner主演:玛德琳·卡罗尔MadelineCarroll/卡...,怦然心动,24,9.0
满满温情的高雅喜剧。,529036人评价,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano主...,触不可及,25,9.2
无尽的黑暗。,510698人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...,蝙蝠侠：黑暗骑士,26,9.1
Tomorrow is another day.,369076人评价,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor主演:费...,乱世佳人,27,9.2
张艺谋最好的电影。,409391人评价,导演:张艺谋YimouZhang主演:葛优YouGe/巩俐LiGong/姜武WuJiang,活着,28,9.2
瑰丽壮观、无人能及的冒险之旅。,800976人评价,导演:李安AngLee主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...,少年派的奇幻漂流,29,9.0
比利·怀德满分作品。,175158人评价,导演:比利·怀尔德BillyWilder主演:泰隆·鲍华TyronePower/玛琳·...,控方证人,30,9.6
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,396866人评价,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:安东内拉·阿蒂利Anton...,天堂电影院,31,9.2
对敌人的仁慈，就是对自己残忍。,334844人评价,导演:姜文WenJiang主演:姜文WenJiang/香川照之TeruyukiKagawa/...,鬼子来了,32,9.2
史诗的终章。,401761人评价,导演:彼得·杰克逊PeterJackson主演:维果·莫腾森ViggoMortensen/...,指环王3：王者无敌,33,9.1
1957年的理想主义。 ,238467人评价,导演:SidneyLumet主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,十二怒汉,34,9.4
对天空的追逐，永不停止。 ,470484人评价,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka/横泽启子Ke...,天空之城,35,9.1
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,765327人评价,导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan/法缇玛...,摔跤吧！爸爸,36,9.1
最后那些最无聊的事情，才是最值得怀念的。 ,716895人评价,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson主演:爱德...,飞屋环游记,37,8.9
旷古烁今。,617983人评价,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...,大话西游之月光宝盒,38,9.0
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,514618人评价,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...,搏击俱乐部,39,9.0
爱情哪怕只有一天。,536366人评价,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn/格...,罗马假日,40,9.0
带着心爱的人在天空飞翔。,519959人评价,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô/木村拓...,哈尔的移动城堡,41,9.0
史上最美的探戈。,458104人评价,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino/克里斯...,闻香识女人,42,9.0
电影的现实意义大过电影本身。,316596人评价,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong/吴达洙Dal-suO...,辩护人,43,9.2
别样人生。,318167人评价,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...,窃听风暴,44,9.1
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,352428人评价,导演:GuyRitchie主演:JasonFlemyng/DexterFletcher/NickMoran,两杆大烟枪,45,9.1
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,308821人评价,导演:贝纳尔多·贝托鲁奇BernardoBertolucci主演:尊龙JohnLone/陈...,末代皇帝,46,9.1
自由万岁。,355041人评价,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...,飞越疯人院,47,9.1
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,388921人评价,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...,死亡诗社,48,9.0
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,286130人评价,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...,素媛,49,9.2
承前启后的史诗篇章。,377386人评价,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...,指环王2：双塔奇兵,50,9.0
死亡不是真的逝去，遗忘才是永恒的消亡。,729139人评价,导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina主演:...,寻梦环游记,51,9.0
一张面具背后的理想与革命。,594099人评价,导演:詹姆斯·麦克特格JamesMcTeigue主演:娜塔莉·波特曼NataliePor...,V字仇杀队,52,8.8
